,country,weapon,date,text
172,Australia , M795 with Insensitive Munitions Explosive (IMX) 101 Explosive Fill 155mm HE Projectile," Apr. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia of M795 with…
173,Spain , CH-47F Aircraft," Apr. 4, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Spain of CH-47F aircraft…
174,United Kingdom , MQ-9 Continuing Contractor Logistics Support," Apr. 4, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom of…
175,Slovakia , F-16 Block 70/72 V Configuration Aircraft," Apr. 4, 2018 ",The State Department has made a determination approving a possible Foreign Military…
176,Saudi Arabia , TOW 2B (BGM-71F-Series) Missiles," Mar. 22, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia of TOW 2B (…
177,Saudi Arabia , Royal Saudi Land Forces Ordnance Corps Foreign Military Sales Order (FMSO) II Case," Mar. 22, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia of a Royal…
178,Saudi Arabia , Continuation of Maintenance Support Services (MSS)," Mar. 22, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia of equipment…
179,United Arab Emirates (UAE) , AIM-9X-2 Sidewinder Block II Missiles," Mar. 8, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates of…
180,Qatar , Upgrade of Qatar Air Operations Center (AOC)," Mar. 8, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar of equipment and…
181,Japan , MK 15 Phalanx Close-in Weapon System (CIWS) Block IB Baseline 2 Conversion Kits," Mar. 02, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of MK 15 Phalanx…
182,Ukraine , Javelin Missiles and Command Launch Units," Mar. 1, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Ukraine of Javelin Missiles…
183,Kuwait ," Intelligence, Surveillance, and Reconnaissance King Air 350ER"," FEB. 21, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait of King Air 350ER…
184,Finland , Mk 41 Vertical Launching Systems," FEB. 20, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Finland of Mk 41 Baseline…
185,Kuwait , Fast Patrol Boats," FEB. 20, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait of fast patrol…
186,Netherlands , AH-64E Remanufactured Apache Attack Helicopters," FEB. 20, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands of items…
187,Sweden , Patriot Configuration-3+ Modernized Fire Units," FEB. 20, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Sweden of Patriot…
188,Finland , RGM-84Q-4 Harpoon Block II+ ER Grade B Surface-Launched Missiles and RGM-84L-4 Harpoon Block II Grade B Surface-Launched Missiles," FEB. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Finland of RGM-84Q-4 Harpoon Block II+ ER…
189,Finland , Evolved SEASPARROW Missiles (ESSM)," FEB. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Finland of sixty-eight (68) Evolved SEASPARROW…
190,Belgium , F-35 Joint Strike Fighter Aircraft," JAN. 18, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Belgium of thirty-four (34) F-35 Joint Strike…
191,Saudi Arabia , Continuation of Missile System Support Services," JAN. 17, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia of continuation of missile system…
192,Japan , Standard Missile-3 (SM-3) Block IIA Missiles," Jan. 9, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of Standard Missile-3…
193,Oman , F-16 Operational Flight Profile and Identification Friend or Foe Mode 5 Upgrade," Jan. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Oman of items and services…
194,Mexico ,"Harpoon Block II Missiles, RAM Missiles and MK 54 Torpedoes"," Jan. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Mexico of RGM-84L Harpoon…
195,Poland , F-16 Follow-on Support," Dec. 19, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland for follow-on…
196,Singapore , Follow-On Support for PEACE CARVIN V (F-15 Training Detachment)," Nov. 29, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Singapore for GBU-10 Paveway II Laser Guided…
197,Poland , High Mobility Artillery Rocket System (HIMARS)," Nov. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland for a High Mobility Artillery Rocket…
198,Poland , AIM-120C-7 Advanced Medium Range Air-to-Air Missiles (AMRAAM)," Nov. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland for AIM-120C-7 Advanced Medium Range…
199,Georgia , Javelin Missiles and Command Launch Units," Nov. 20, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Georgia for Javelin…
200,Poland , Integrated Air and Missile Defense (IAMD) Battle Command System (IBCS)-enabled Patriot Configuration-3+ with Modernized Sensors and Components," Nov. 17, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland for an Integrated…
201,Norway , AIM-120 C-7 Advanced Medium Range Air-to-Air Missiles (AMRAAM)," Nov. 15, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Norway for AIM-120 C-7 Advanced Medium…
202,Qatar ," F-15QA Construction, Cybersecurity, and Force Protection Infrastructure"," Nov 1, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar for support of its F-15QA multi-role…
203,Canada , AIM-120D Advanced Medium Range Air-to-Air Missiles (AMRAAM)," Nov. 1, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Canada for AIM-120D Advanced Medium Range Air-…
204,Czech Republic , UH-1Y Utility Helicopters," Oct 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Czech Republic for UH-1Y utility…
205,Government of Greece , Upgrade of F-16 Aircraft to F-16 Block V Configuration," Oct 17, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Greece for an upgrade of F-16…
206,Kuwait , M1A1 Abrams Tanks," Oct 16, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for M1A1 Abrams Tanks.  The…
207,Kuwait , Continuation of C-17 Logistics Support Services and Equipment," Oct 13, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for continuation of C-17 logistics…
208,Government of the Netherlands , AIM-120 C-7 Advanced Medium Range Air-to-Air Missile (AMRAAM)," Oct 11, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Netherlands for AIM-120 C…
209,Saudi Arabia ," Terminal High Altitude Area Defense and Related Support, Equipment and Services"," Oct 6, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Saudi Arabia for Terminal High…
210,Japan , AIM-120C-7 Advanced Medium-Range Air-to-Air Missiles (AMRAAMs)," Oct. 4, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan for AIM-120C-7 Advanced Medium-Range Air-…
211,Australia , GBU-53/B Small Diameter Bomb Increment II (SDB II)," Oct. 2, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for GBU-53/B Small Diameter Bomb…
212,Government of Canada , F/A-18E/F Super Hornet Aircraft with Support,"WASHINGTON, Sep.","['WASHINGTON, Sep.']"
213,Bahrain , 35 Meter Fast Patrol Boats," Sep. 8, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain for 35 Meter Fast Patrol Boats. …
